Date,High,Low,Open,Close,Volume,Adj Close
1/4/2019,299,291.5,292.1,297.65,19514041,297.3
1/3/2019,295.55,290.1,295,291.1,17548347,291.05
1/2/2019,302.5,293.1,299.1,293.9,25559853,293.8
1/1/2019,300.7,293.85,297.5,299.6,11837127,300.7
12/31/2018,298.25,295.5,297.2,295.9,9526067,295.65
12/28/2018,297.1,293.55,293.6,294.8,12876558,294.45
12/27/2018,297.6,291.5,296.7,292.15,15304564,293.3
12/26/2018,295,287.15,292.85,294.15,12684324,294.55
12/24/2018,295,290.15,293.5,293.05,12048877,293.5
12/21/2018,296.5,290.8,293.65,291.9,15777301,292
12/20/2018,301.65,293.15,298.35,294.05,19222232,294
12/19/2018,302,294.7,294.7,300.7,26124125,299.5
12/18/2018,294,287,287.85,292.75,13606582,293.9
12/17/2018,291.45,287.3,289.3,289.5,12728014,290.25
12/14/2018,290.8,287.05,288.5,289.2,12156361,288.7
12/13/2018,294,285.75,290,289,24097152,288.85
12/12/2018,285.85,282.2,283.75,285.25,21765939,285.3
12/11/2018,283.25,268.35,268.35,281.25,30927239,281.75
12/10/2018,276.4,270.15,271,274.2,11947887,274.35
12/7/2018,277.35,272.1,277,275.4,10165275,276
12/6/2018,279.25,275.1,278,275.65,11083451,275.6
12/5/2018,283.2,277.05,282.45,280.15,14893748,280.2
12/4/2018,287.95,281.9,287.95,282.55,11897307,282.6
12/3/2018,287.9,283.25,286.7,286.8,15772176,287.1
11/30/2018,290.9,283.2,288.8,284.65,17583510,284.05
11/29/2018,289.65,284.25,289.3,286.4,27919104,288
11/28/2018,292.45,283,289.4,284.55,19837609,284
11/27/2018,290.5,284.05,284.6,289.4,21242956,289
11/26/2018,287.25,279.6,284.1,286.4,16846820,286.5
11/22/2018,287.05,281.6,285.95,282.7,12066797,282.65
11/21/2018,289.55,283.05,283.45,287.05,16167419,286.5
11/20/2018,288.55,282.5,285.9,283.45,12900924,282.6
11/19/2018,293.5,286.05,293.5,288.15,13799970,288.05
11/16/2018,291.8,282.6,285.9,290.9,24805910,291.55
11/15/2018,287.05,281.15,283.85,285.4,18445463,285
11/14/2018,287.7,278,280.4,283.6,52674807,283.05
11/13/2018,279.7,273.35,276.3,278.05,25633628,279.4
11/12/2018,283.7,276.85,283.7,277.95,24044907,277.2
11/9/2018,287.5,282.45,287,283.25,19201007,283.1
11/7/2018,288.9,285.95,288.9,286.55,3312160,287
11/6/2018,298.3,283.9,296.1,286.45,40688243,285.25
11/5/2018,300,283.5,286.45,294.95,44619891,296.1
11/2/2018,292.8,283.2,287.9,285.35,27760214,285.55
11/1/2018,289,278.85,283,285.9,29144808,285.65
10/31/2018,282.75,268.6,275,281.4,28137370,280.75
10/30/2018,279.1,266,267.5,273.15,33401683,273.9
10/29/2018,269.25,248.4,250,267.9,37768359,267.5
10/26/2018,252.5,247.4,252,248.1,20543437,247.9
10/25/2018,255,248.4,254.5,249.55,33066232,250.65
10/24/2018,261.8,252.8,260.25,255.7,25636533,255.9
10/23/2018,259,255,258,255.65,20206307,255.9
10/22/2018,266,259.45,266,260.35,19933462,260
10/19/2018,264.2,258.1,259.7,261.1,28474307,261.15
10/17/2018,275,260,273.75,261.15,21631573,261
10/16/2018,270.85,263.35,264.6,270.3,33597068,270.35
10/15/2018,265.7,261.1,264.4,263.2,21965859,263.15
10/12/2018,267.9,261.5,266,263.75,42967696,263.7
10/11/2018,271.5,260.6,268,262.15,46291120,261.7
10/10/2018,280.45,261.2,261.6,278.65,31772330,277.3
10/9/2018,268.15,260,268,262.95,16010883,262.75
10/8/2018,268.5,258.35,259.75,265.75,21100804,266
10/5/2018,271,256,271,258.35,36628643,258.3
10/4/2018,272.7,265.7,267.95,271.35,17754204,269.4
10/3/2018,278.7,270.6,273.35,271.7,19714943,271.5
10/1/2018,275.2,264.1,265.5,273.85,17711738,274.1
9/28/2018,273.5,262.5,266.4,265.5,33803139,265.5
9/27/2018,268.6,263.75,264.5,265.35,24829383,265.5
9/26/2018,274,262.75,274,263.85,23951904,263
9/25/2018,272.95,260.8,264,270.9,28948831,272.5
9/24/2018,273,262.6,272.7,264.35,24633374,263.35
9/21/2018,279.45,253.4,274.2,270.6,39308482,270.45
9/19/2018,282.85,270.5,275.4,271.5,40759431,271.15
9/18/2018,286.9,272.4,285,273.8,33901000,273.6
9/17/2018,288.5,284.1,288.5,285.3,16089996,285.1
9/14/2018,291.8,288.7,290.1,290.65,15149585,290.65
9/12/2018,286.7,280,284,285.3,22717796,285.85
9/11/2018,291.45,281.65,287.35,282.6,28361400,282
9/10/2018,293.25,283.8,290.65,284.85,23354395,284.5
9/7/2018,295.9,289.45,295.9,291.65,23716678,291.1
9/6/2018,299.85,294.5,298,296.45,18001336,294.9
9/5/2018,298.85,290.4,296.5,296.55,22922686,296.9
9/4/2018,307.45,295.45,306.8,296.4,42859084,296.25
9/3/2018,312.5,304.8,312.5,306.35,14708076,305.65
8/31/2018,310.65,304.55,307.9,309.6,18100140,310.3
8/30/2018,310.5,306,309.3,308.6,19935935,308.9
8/29/2018,312,305.75,306.8,309.7,24320824,309.85
8/28/2018,310.25,303.4,308.05,305.35,16890236,305.8
8/27/2018,310.35,303.3,304,308,28111768,306.95
8/24/2018,305.7,299,300.6,300.45,18869585,300.6
8/23/2018,306.95,298.3,306.95,302.45,22721004,302.45
8/21/2018,308.85,303.35,308.3,307,14139592,307.1
8/20/2018,308.7,303.6,304.1,307.65,20240462,307.6
8/17/2018,302.7,294.05,295,302.1,21931134,302.2
8/16/2018,298.4,290.25,293.5,292.7,31083900,293
8/14/2018,298.95,293.35,296.7,294.9,25294933,295
8/13/2018,302.8,291.1,296,294.15,58127432,296.7
